userName,content,score,Year,Month,Day
Okieb,"TOLONG PERBAIKI APLIKASI BERBAYAR INI, SUDAH DIPILIH FILE PDF YANG BERBEDA, SETELAH DIGABUNGKAN HASILNYA SAMA SEMUA, FILENYA KEMBAR SEMUA, PADAHAL SAAT MEMILIH, FILENYA BEDA-BEDA.",1,2024,9,16
Tar Wiyah,"Memudahkan saya untuk mengambil, dan mengirim gambar tanpa takut buram atau gelap. Mudah juga untuk di kirim dan di download. Suka sama aplikasi CamScanner, terimakasih",5,2024,9,16
Pejalan Kaki,Aplikasi gk worth it terlalu banyak iklan. Dan iklan tidak bisa di close (kecuali force close) dan alhasil gambar yg dj foto hilang dan ngulang foto lagi. Ribet banget 👎🏿👎🏿👎🏿👎🏿👎🏿,1,2024,9,16
Fikran Lembah,Aplikasinya bagus memudahkan kami untuk scan scan berkas Tqpi tolong kurangi iklannya admin,5,2024,9,16
Muhammad Ridwan,apk anjeng.. tanpa konfirmasi langsung potong ke dana. maksa buat berlangganan. anjeng,1,2024,9,15
Rudi Worumi.T,Sangat membantu dalam proses pengembangan bisnis dan juga mengaplod dukumen,5,2024,9,15
Sri Mulyati,"Aplikasi yg sangat membantu, mempermudah pekerjaan saya..",5,2024,9,14
Irwan Syahputra,Penggunaannya simpel,5,2024,9,14
Ari Gato,"Hasil jernih, berkualitas",5,2024,9,14
Dian Anindita,Bagian kertas yg lungset masih kelihatan bekasnya setelah discan,4,2024,9,13
Amien Riana,Sangat membantu dalam proses pekerjaan,5,2024,9,13
alfi mega safitri,"memudahkan saya, sayang aja iklan tapi good",5,2024,9,12
KP-Wahyu Sutopo,"Mantap, bagus dan sangat membantu untuk pemberkasan yang rapi, terima kasih",5,2024,9,12
M Yasri,"Mantapnya aplikasi ini. Kalau bisa setengah detik ceprekan, beri iklannya. Biar makin rame iklannya. Kalau bisa pun 1 iklan 1 jam👍",3,2024,9,12
Hannah Mabsuthoh,"G bagus, maen narik dana gw buat pembayaran itupun mahal bngt G ngotak pdhl gw baru make bbrp kali. G rekomend mending pake laptop.",1,2024,9,11
dewi nur cahyani,"Setelah diupdate, fitur lebih enak dr sebelum diupdate. Tidak ada pilihan kompres ukuran pdf, ttd harus msuk menu edit, pdhal sblmnya lngsung pilih ttd dibawah. Agak ribet, kalk boleh saran pakai versi seblumnya saja.",4,2024,9,11
Bahrudin,"Lebih perbaiki lagi, tidak membeli langganan malah jadi langganan,",1,2024,9,11
Andre Pranata,"Aplikasinya sangat berguna 👍🏻, tapi mengapa sekarang tidak bisa mengubah ukuran file? sebelumnya bisa mengubah ukuran file menjadi kecil, sedang, dan besar, tapi kemana semua fitur itu? sungguh disayangkan...",3,2024,9,11
nurjanah kholidin,Solusi tanpa harus punya mesin fotocopy atau scanner,5,2024,9,11
reewaindd lah not forwardd,"App Scan terbaik, tapi jangan banyak iklan yaaa",5,2024,9,10
Almahqvira Mi,Aplikasi ini sangat berguna bagi kami para pelajar yang banyak yugas,5,2024,9,9
Joko Agus,"Saatnya ku tinggalkan, masih banyak yang lebih praktis !!!",1,2024,9,9
aprilia Bayu Rini,"Ok banget aplikasi ini, membantu pekerjaan kantor",5,2024,9,9
Yuni Ulfa,Cam Scanner bener bener membantu kita dalam pendokumentasian dan hasil sgt bagus,5,2024,9,9
Ina Wati,Semoga selalu bermanfaat utk penyimpanan file,5,2024,9,8
Andi Eriyanto,"Tolong kembalikan uang saya tiba"" Di curi dari dana saya kurang ajar aplikasi penipuan",1,2024,9,8
MR. DW,Mudah dan Hasil memuaskan. Thanks CamScan,5,2024,9,8
Hadi Prasetya,Sangat puas dengan aplikasi ini. Top Markotop,5,2024,9,8
Randy Rezky Sihombing,Kerenn dan mudah untuk dipakai,5,2024,9,6
Eshilal@gmail.com Hilal,"aplikasi yang simpel, mudah dan cepat.",5,2024,9,6
Laily Prakoso,"Sangat bagus... Dan mempermudah urusan dokumen, tidak ribet... Fitur lengkap sangat puas... Hasil gambar juga jernih... Menurutku lebih bagus dari alat scannya...",5,2024,9,6
Masieli Karya,"Setelah pembayaran langganan 1 tahun, ternyata camscanner premium tidak aktif. Mohon teknisi ini. Terimakasih",1,2024,9,6
NASHAIH ADDIEN,"Aplikasinya engga bagus, waktu mau nyimpan file tiba tiba close sendiri dan kembali dari awal",1,2024,9,6
Lisna Abadi,Bagus dan membantu tpi tolong iklan di stop dan di buang,5,2024,9,5
Amar Ruddin,Sangat membantu dalam semua tugas,5,2024,9,4
Nilan chufas,"Awalnya saya memakai aplikasi capcut sungguh sangat puas karna salah satu fiturnya seperti Keterangan otomatisnya belum dikenakan perbayar, tapi setelah aplikasinya up date, kemudian keterangan otomatisnya sudah perbayar maka disitu saya mulai tidak nyaman dengan aplikasi ini. Saran mohon untuk keterangan otomatisnya di gratis kan saja.",2,2024,9,4
Dwi Avinia dangdut,Mantap mempermudah pekerjaan scan,5,2024,9,3
rini prasetyaningsih,"Mantap, seneng banget hasil cam scanner, tajam mudah. Terima kasih, apps yg sangat bagus",5,2024,9,3
Arki Susanto,"Bagus dan cepat, hanya watermark camscannernya harus di ilangin lagi",3,2024,9,2
Neny Sriwahyuni,Sangat membantu dalam mengirim file,5,2024,9,2
Suhendra KN,"Sangat Keren sekali, gak nyesel download aplikasi ini, sangat membantu sekali, terimakasih",5,2024,9,2
Budy Sudarsho,Kenapa main kurang² in saldo ya padahal gaada persetujuan apapun ?? Tolong diperhatikan ya,1,2024,9,2
Lukman Nurdin,Keren dan mudah digunakan,5,2024,9,2
Daryanto Phi,cepat dan rapi,5,2024,9,2
Purnomo Basuki,Kok utk scan hasil nya bntk nya file jpg ya..bukan pdf..😓,2,2024,9,1
Tri Haryono,"CS mantap, lebih mudah dan jelas",5,2024,9,1
Idratul Amri Chan,Alhamdulillah sangat membantu dalam pengiriman file,5,2024,9,1
Fachrudin Maz,Sangat bagus dan membantu sekali dalam melakukan pekerjaan,5,2024,8,31
Budi Pramono,"saya sudah berlangganan memakai versi yang premium, kurang lebih 6bln, pembayaran juga tidak pernah terlambat, kenapa bulan ini masih muncul iklannya? sedangkan tagihan sudah dibayar. tolong perbaiki",1,2024,8,31
Mujakhir Jakhir,Sangat membantu sekali dalam membaca sebuah file,5,2024,8,30
Ahmad Istanto,"aplikasi yang bagus, sangat membantu Penyelesaian dokumen..",5,2024,8,30
Surianti Anti,"Sangat membantu pekerjaan dimanapun tempatnya sudah bisa langsung di pakai cuma kadang"" agak loading",5,2024,8,30
Idim Nurrohman,"mantap apk nya,,dan sangat mmbantu",5,2024,8,30
pai ran,"Aplikasinya sangat berguna! Tapi saya harap ukuran filenya bisa dikecilkan lagi, karena ponsel saya kepenuhan memori karena aplikasi ini terlalu besar ukuran filenya. Ditunggu ya 👍",2,2024,8,29
Monte Garsa,Pekerjaan lebih simpel dan mudah,4,2024,8,29
Eri Wijaya,Programnya bagus dan sangat membantu,5,2024,8,29
MUHAMAD GILANG RAMDANI,Sangat membantu bagi mahasiswa,5,2024,8,29
Regita Cahya Pranestari,"Baru kali ini ngasih rating segini di playstore. Iklannya tolong dikondisikan, padahal tidak di klik iklan nya tapi ko langsung beralih ke aplikasi lain. Terutama Shopee. Tiap kali ada iklan shopee, padahal saya ga klik apa2, pasti langsung dialihkan ke Shopee. Masalahnya juga harus berkali2 klik back. Malah mengganggu. Padahal dulu ga kayak gini deh. Iklan nya masih dalam batas wajar, yang bakal ilang dalam beberapa detik, ga sampe tiba2 kebuka aplikasi lain. TOLONG PERBAIKI. makasii",5,2024,8,29
ASEMA WARUWU,"Sangat bermanfaat, memudahkan pekerjaan",5,2024,8,29
MAWARDI .M,Aplikasi yg sangat membantu buat pekerjaan menjadi lebih mudah good job,5,2024,8,29
Subagyo Hadimartono,"Lebih mudah dengan hasil yg optimal, menyesuaikan dgn kebutuhan.👍👍",5,2024,8,28
bonifasius dionisius,"Saya pakai yg berbayar sudah hampir 3th an, kenapa hari ini kalau mau sign dari file pdf kiriman tidak bisa di zoom per halamanan ? Sebelumnya baik baik saja. Di atas adalah keluhan saya sebelumya, dan di respon cukup cepat, hasilnya sekarang sudah normal kembali. Terima kasih.",5,2024,8,28
Shyakila Aprilianshah,"minusnya banyak ads kalo lagi hidupkan data internet/pakai wifi, apalagi kalo lagi dibutuhin cepat.",5,2024,8,28
Ahmad Cholidi,Sangat membantu pekerjaan,5,2024,8,27
Masda Yuni,Aplikasi nya bagus sangat membantu pekerjaan saya,5,2024,8,27
Dwi Dwi,"Mudah cepat dn praktis sangat mmbantu,,",5,2024,8,27
Windi Al Fajr,"Makin Lama Ko Semakin Di Persulit Ya ini CamScanner, pdf Dll nya Sekarang ga Bisa Lagi Di Compres Padahal Saya Sdh Pakai Aplks ini sdh hampir 5 Tahun",1,2024,8,27
Yog Pratama,"Sangat jelas untuk membuka dokumwn pdf, keren bangettt,",5,2024,8,27
亗Jüst๛٭Ferdy亗 (Ferdyansya),"Sy kasi bintang 3 aja soalnya iklanya mengganggu sekali,, kalau bisa di hilangkan saja",3,2024,8,26
zamimovick mukhra,Sanngat membantu alias sepat jadi tanpa ribet langsung menyala....pokoknyo mantap,5,2024,8,26
Tri Ummu Salma,Keren sngat bmnafaat menyimpan berkas2 penting dlm bentuk pdf..JD GK perlu alat lg..,5,2024,8,26
Nurjani Jani,"Sebelum""nya untuk scan bagus bgt jernih tapi kok makin kesini malah burem dan ngelek, sayang bgt padahal udah pake pas zaman awal"" covid buat kumpulin tugas, semoga bisa di perbaiki lagi yaa.",3,2024,8,25
Pitri Robiyati,Iklan nya banyak,4,2024,8,25
Abufaqih Faqih,Aplikasi ini bagus banget sehingga banyak membantu menyelesaikan tugas lebih cepat.,4,2024,8,24
Adi Rattanna,Aplikasi tidak membantu. Kebanyakan iklan!,1,2024,8,24
Cecep amiludin Ebe,"Bagus dan mudah, dan ga ribet",5,2024,8,24
silvi adhi,"trimakasii, sangat membantu proses pembelajaran",5,2024,8,24
Bunda Eva,Aplikasinya sangat membantu pekerjaan saya di kantor,5,2024,8,23
eko septian,"Semoga tambah lebih baik lagi, agar semakin banyak peminatnya dan banyak orang terbantu oleh aplikasi ini",5,2024,8,23
M A H M U D - SECURITY RSUD KOJA,Cukup memuaskan utk aplikasi nya krn sdh membantu sekali hingga aplikasi camscenner bisa menyimpan data2 saya dengan sangat-sangat rapih...,5,2024,8,23
Ni kadek Landri,"Kenapa harus ada tulisan scanner nya si, mana gak liat, akhirnya e-materai ulang, bagus si untuk scan tapi musti ada tulisan scannya ya.",2,2024,8,23
Indah Mardianah,"Saya sangat bahagia karna ada aplikasi ini,sungguh sangat membantu setiap org yg membutuhkan tanpa harus menggunakan jasa org lain yg memiliki komputer dgn jumlah uang yg besar,sekali lg kepada pembuat apl ini saya sangat berterimakasih,semoga kedepannya makin sukses dlm hal kebaikan lainnya..",5,2024,8,23
Muhammad Hamid,"Noob, file ga tersimpan di perangkat hanya di camscanner",2,2024,8,22
Jihan Aura Lestari,"Aplikasinya bagus, tapi kayak menjebak gitu. Mungkin aku enggak baca ketentuan dan syaratnya, padahal baru cuma sekali pake layanan premium yaitu cuman pake ekspor pdf ke word. Tapi udah langsung potong saldo, tanpa ada pemberitahuan 🥺",3,2024,8,22
santa budianto,"Sangat membantu , tidak ribet ,praktis bangettttt",5,2024,8,22
adonia orlin,"Terlalu banyak iklan, saat dibutuhkan segera tidak bisa banyak bertindak, diklik *lewati* tapi malah membuka page baru di luar camscanner. Tolong diperbaiki!",2,2024,8,22
M. Agus Sahbana,Aplikasi luar biasa. Sangat membantu bagi para pengguna yg ingin men-scan berkas menjadi file PDF. Tanpa menggunakan mesin scanner. Terima kasih CamScanner sdh membuat aplikasi ini. Barokallah. 🙏🙏🙏🙏👍👍👍👍,5,2024,8,22
Reyhan Vlog,Pengeditan mudah dan hasil sangat memuaskan,5,2024,8,22
Lisna Setiawan,Membantu sekali dan sangat jelas bersih,5,2024,8,20
hari pardjianto,Aplikasi yang bermanfaat dan sangat membantu.,5,2024,8,20
Dimas Wibowo p,mudah menggunakana dan maksimal hasilnya,5,2024,8,20
Hendro Tri,Cs sangat membatu hasil PDF sangat maksimal,5,2024,8,20
Igede krista Syalom,Iklan nya banyak sekali sampai 1 menit. Tiap buka file muncul iklan. Kadang kesel rasanya mau banting ini hp setiap muncul iklan. Di pakai kerja lagi. Tolong di kurangin iklannya kalau perlu hapus iklan. Waktu terbuang2 nonton iklannya sampai tiap buka file iklannya 1menit,1,2024,8,19
Yan Benny Ayusla,Aplikasi yg bagus sygnya byk iklan kalau yg gratisan nya..,4,2024,8,19
agung teguh juana,Kembalian camscanner seperti sebelumnya untuk edit tambah teks,4,2024,8,18
Rendi Kustiwa,"aplikasi jelek, tidak memberikan notif sebelum pembayaran, main potong seenaknya",1,2024,8,18
yuda pratama,Mantab sekali tulisannya jadi jernih dan jelas,5,2024,8,18
Pengguna Google,Semoga di update selanjutnya memiliki fitur QR Code 👍,5,2024,8,17
Ahmad Yani,"Sangat bagus, hasilnya scenya juga sangat mantap, 👍👍👍",5,2024,8,16
cantika ghea,belum ada pengalaman baru di instal. kasih 3 bintang dulu aja,3,2024,8,16
Imam Nur Hidayattullah,Simpel keren mudah dan keren 👍👍👍,5,2024,8,16
rafly suparman,"Sangat membantu, mudah menggunakannya",5,2024,8,15
Mardiati Ati,Ga pernah berubah dan semakin keren..,5,2024,8,15
dedy kuswinanto,Kwalitas bagus mendukung sekali buat menunjang pekerjaan.sukses slalu,5,2024,8,15
Debora Christina,Okelah.. dokumen yang difoto terlihat jelas,5,2024,8,15
Siti Khodijah,Bagus buat gabungin pdf dan scan nya Cuman kbnyakan iklan nya aja,4,2024,8,15
Abd Kadir,Sangat mendukung dalam pekerjaan saya,4,2024,8,14
Hendy,KENAPA SEKARANG DIPAKSA HARUS LANGGANAN DULU ??? KALO GA LANGGANAN GA BISA DIPAKE!!! APLIKASI SAMPAH!!!!!! MENGECEWAKAN,1,2024,8,14
Kusmayadi Abu sakinah,"Mantap, tapi masih byk iklannya dan sangat mengganggu",4,2024,8,14
The Sky Channel,Penggunaan Aplikasi nya sangat mudah. Kerenz Pokokee 🙏🏼👍🏼👍🏼,5,2024,8,14
Anwar Abie Farhan,"Aplikasi yang sangat canggih, dan gampang penggunaanya., ini sangat membantu, terimakasih..",5,2024,8,14
Rani khairani,Cara memghilangkan suara saat pengambilan gambar atau sura cekrek dibagian mana ya..,5,2024,8,13
Agus Ramdani,Sangat membantu pekerjaan,5,2024,8,12
Nursila Van Gobel,Aplikasinya bagus dan lebih mudah untuk dokumen,5,2024,8,11
Fahri Bisri,Aplikasi yg cangih sehingga bisa membntu pekerjaan terkait yang bersangkutan scan yang biasanya dilakukan oleh mesin scan yg ukuranya besar sekarang lewat aplikasi ini cukup dengan mudah menggunakan hp dan lebih canggih lagi 1 file bisa menyambung ke file berikutnya,5,2024,8,11
Milton EQ Nainggolan,"Beli yg full version tapi aplikasi yg non full version nya hrs tetap terinstall. Jadilah muncul dua aplikasi yg terinstall 😔 Dan sekarang diminta bayar untuk berlangganan, terus full version yg udah gw beli apa fungsinya?? 😡",1,2024,8,11
HR Milettindo,"Sumpah ini sih aplikasi scanner terkeren.. penggunaannya gampang dan ga ribet. langsung scan2 dari hp beres dan lebih cepat. dan yang pasti, hasilnya sangat memuaskan.",5,2024,8,10
Rachmanto Alhasanie,"File tiba"" hilang. Saran sebelumnya agar berlangganan supaya file bisa ditemukan. Namun kenyataannya file tidak dapat ditemukan. Dan hanya tersisa 2 file.",2,2024,8,10
Ade Arief,Sangat membantu dalam pengeditan berkas,5,2024,8,10
Adisty Farizah,Iklannya banyakk bgtttttttttt,2,2024,8,10
Yulian Ajh,"Aplikasinya bagus tapi bobrok di iklan selaginya lagi perlu buru"" iklan muncul mana lama... Tolong perbaiki jgn mengecewakan",1,2024,8,9
Angki Rizki,Saya pengguna CS dari tahun 2019. Saya terbantu untuk pekerjaan saya dalam hal scan yang mudah dan bagus. Untuk edit atau isi pdf nya pun mudah tinggal klik dan sesuaikan teks nya aman. Sekarang saya merasa di persulit untuk isi format pdf nya saja harus download aplikasi sebelah nya. Dan juga tidak semudah yang kemarin. Harus satu per satu saya edit isi teks. Tolong kembalikan format yang seperti dulu. Saya akan edit bintang ini kembali apabila sudah kembali seperti semula.,3,2024,8,9
Iky Iky,Memotong saldo dana tanpa minta konfirmasi dari pemilik akun tiba2 langganan ga jelas,1,2024,8,9
fanny rizka kamal,"Dulu msh bagus , sekarang sedikit2 iklan. Sama gk bsa gratis lagi harus bayar",1,2024,8,9
Yayan Mulyana,Aplikasi yg sangat membantu pekerjaan.. Kereenn,5,2024,8,8
Ega Puja Madu Tia,Lumayan bisa membantu pekerjaan dri waktu kuliah smpe sekrng,5,2024,8,8
Luth Fii,"Alhamdulillah, apknya membantu banget suka🔥",5,2024,8,8
Who I am,"Iklan banyak fitur ngelag, mau skip iklan susah malah macet, mau uplod file aja susah, padahal penyimpanan masih banyak, aplikasi tolol, penyimpanan masih ada 1GB masih aja di bilang penyimpanan penuh mau uplod",1,2024,8,7
Nise Aisyqa,"Setelah di update ke versi terbaru , Data lama saya HILANG ! Tolong perbaiki dan kembalikan data lama saya .",3,2024,8,7
Eduardus Juan Ananda,"Di Update kok malah wajib Bayar. Padahal sebelum Update bisa dipakai Gratis. Haha yasudah lah, aku ubah bintang nya. Tadi nya aku kasih Bintang 5 karena aplikasi nya bagus & gratis. Sekarang harus berbayar. Terimakasih saya gak mau lagi pakai aplikasi ini",1,2024,8,7
Sitorus bella,Aplikasinya berguna banget bagi anak sekolah zaman sekarang yg harus make alat alat modern....,5,2024,8,7
Eman Suherman,"Apknya bagus sangat membantu sekali, tapi sayang banyak iklannya.",5,2024,8,7
